"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 06 20:03:15 IST 2023","Fri Oct 06 20:04:55 IST 2023","100482","Salesforce Test Automation Test Suite","Salesforce CRM Test Cases","com.salesforce.qa.testcases.OpportunityPageTest","com.salesforce.qa.testcases.OpportunityPageTest","createOpportunity","createOpportunity",""
"broken","Fri Oct 06 20:04:55 IST 2023","Fri Oct 06 20:04:55 IST 2023","1","Salesforce Test Automation Test Suite","Salesforce CRM Test Cases","com.salesforce.qa.testcases.OpportunityPageTest","com.salesforce.qa.testcases.OpportunityPageTest","tearDown","tearDown",""
